63627,66061,68168,62184,60091,46089,47856,48007,35758,30432,24916,16783,8921,5565,2411
13453,14838,19449,14271,17574,19469,16804,18408,12064,11621,8157,2706,1948,680,280
35770,30930,33132,30490,31912,32838,36665,38367,43970,37813,31911,25918,17132,5790,3028
13270,13798,15748,13103,14454,12937,17962,19727,16462,15478,11849,9094,4351,1370,425
34351,35899,28165,24864,30193,23882,33433,33207,37235,30266,21772,18844,10147,3137,445
50238,50904,51823,58344,50382,46485,48681,49660,42320,39128,37809,35811,19887,10922,5860
26730,31997,30937,31994,32905,38682,32387,29208,22977,21041,16170,17575,9098,5609,1952
18188,17142,16118,19729,18249,21563,19147,17237,15194,17633,18821,12484,6342,4515,1716
53760,54885,55705,48766,55286,55201,55142,48281,48510,49292,50096,35732,23323,11612,6371
15765,17762,26045,22384,23040,19161,24039,24728,23844,24596,16101,12357,6857,2049,633
20528,20823,15793,18240,19996,20959,19865,19050,14652,11922,11612,9965,7487,4747,2346
4415,5781,7115,10049,8952,6487,12461,12622,11291,11414,8106,4626,2153,1199,1358
6178,6585,8436,8904,6205,5306,4222,4988,3482,4861,6383,2918,886,75,0
30126,27080,32465,34783,33048,21666,16210,13544,17684,15982,13510,11345,5391,3531,1762
22781,25271,27131,22408,21408,24896,28807,29681,25241,22120,19824,16675,8125,2989,1691
9437,10171,10831,10694,15744,10877,11332,10146,9445,6140,3688,4645,2203,1984,333
41789,35656,36971,41944,49088,49308,56690,53878,53444,58166,45943,33039,23155,11976,4168
16619,18659,20037,19462,17832,20751,18495,19535,20516,19448,20424,9972,6464,2023,903
39528,40244,48793,43536,43169,46916,49697,48420,43730,39290,31340,27788,16644,8540,2989
19354,20482,22348,24557,22907,27383,27264,25482,25425,19206,22084,17873,12716,5963,3066
9160,10088,9491,7572,4124,6021,5708,3003,1124,1128,1638,579,709,208,0
27225,30325,30443,29706,31116,34877,36358,38729,31218,31580,26023,17899,8339,3142,1435
15462,16617,9400,10178,12406,11250,9202,8926,7256,6467,5052,3701,1493,368,527
32794,32214,23657,21531,17827,16777,7772,6574,4559,4720,6777,5795,2332,1750,581
62894,63896,52499,50591,53339,51582,58211,54635,55330,48268,41501,31896,24928,11736,5055
6778,6341,4759,3692,5811,3541,3935,3493,2647,2742,1673,1619,719,212,250
4480,3930,3766,4886,4760,6474,10929,8318,10133,6997,7028,6352,2723,459,0
78869,81899,73485,77671,89829,83322,80142,77252,73401,68344,61996,41347,28099,14421,7449
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6665,4127,2325,820,1292,1467,1411,1936,5537,5904,3193,2449,1814,957,0
16729,16072,12093,13692,12805,12786,15254,14427,11578,11160,10655,5938,2797,1108,302
30227,31063,30376,28456,29700,27438,35196,35180,34654,29046,27450,23679,12299,6076,1731
7594,10658,7350,10309,12203,10282,12429,11947,8228,9123,6177,3183,1260,398,323
49408,44318,45405,43618,40528,36790,41874,30883,30023,29580,26181,11594,9362,5612,1077
25255,25478,25344,21345,24503,22679,24268,19210,18413,18061,18108,13583,6831,4382,3420
9767,11927,11771,12508,15310,13767,10929,8080,11908,10006,8741,5699,3928,2085,1006
25199,24984,23624,27062,29917,25056,23094,26762,27359,25043,28013,20668,12494,8606,4072
14127,15535,12870,7487,7531,6770,8566,10568,11695,11451,9019,5752,2281,1617,0
39207,34504,31953,37316,37917,38707,39638,39318,36348,32193,20704,13491,10276,5206,2674
23266,23718,25699,26671,28849,25373,19176,15095,11047,7245,6288,4065,4295,1947,481
33912,41487,46887,39779,47882,49727,54216,48089,38000,35490,29687,24498,20420,9943,3360
13707,15584,16658,19981,18626,21971,21768,22962,26415,34796,30620,21352,12365,5122,3513
54967,57499,52108,52316,50705,52665,50164,56215,51748,42013,31892,26233,11690,5896,2235
9586,7944,6131,6003,9943,10039,7365,6499,6046,7927,4785,4522,2135,991,380
23310,16695,18476,15697,19185,19339,23772,22900,16975,21302,24575,18669,11989,6218,3282
40137,30979,36512,34577,32839,42592,31655,32459,29844,34745,30820,21866,15550,6953,2428
37384,35988,31242,37323,39046,38987,43952,47273,43790,49575,44548,30756,13611,7486,3423
21223,22706,29415,25975,23870,25537,24886,27150,25860,15966,15273,8609,3050,1814,481
12436,15958,13591,8973,5353,4634,4385,2587,2771,2404,2290,2016,957,513,344
64712,71900,87159,92295,90440,82706,82014,88884,77256,77205,67518,48095,30564,13563,5897
3421,1570,877,279,59,700,0,0,0,0,0,0,0,0,0
10333,10067,9719,8923,6702,4876,5081,5440,4428,2930,1591,2430,1220,317,159
14806,15259,13040,10867,9236,8109,11665,13231,11534,7606,7548,5600,916,55,0
15272,14177,13541,10526,10212,5131,7550,5602,6672,2235,2573,1079,738,497,45
63495,57933,56238,64620,65961,77390,74233,64909,55790,50636,45482,36231,18644,11549,5918
14010,17532,15049,14995,12675,10053,9904,10210,12529,10785,11559,8847,6544,3177,1451
18599,13646,12398,9652,13814,12269,11459,13101,18881,21043,17154,15230,5818,2785,1904
55421,60605,62253,54285,56614,50183,49765,56363,59329,64875,64914,43386,30644,17688,8853
38608,27086,27091,23285,24746,26740,29639,34946,37971,29546,25204,21733,15604,8867,2871
20395,26716,24960,22659,20490,12999,13689,7859,7893,7562,5222,3172,1130,276,0
17126,22727,24356,21884,21657,22715,24993,23949,22800,21457,16301,19700,12843,3549,974
107613,109205,106536,101038,103993,94927,108441,133013,146872,145431,124583,84308,52333,23404,8939
11320,11155,7462,10593,9287,8652,8649,9182,9609,8694,6247,4773,1821,1080,595
96072,102788,102195,108852,103851,101887,107049,100798,91524,78233,69943,49904,29347,14913,6990
6919,5920,7712,3685,5282,3940,5746,2641,1540,1404,2989,2962,2251,1210,517
32508,39266,39321,44377,43831,40512,41251,44428,47575,54109,43149,36301,23481,12151,3711
37394,34248,29326,31216,30462,33818,32840,26246,25261,26604,18199,12658,11364,5353,2532
14916,16442,16334,12074,11550,9294,6610,9753,10202,9913,8614,4799,1721,1179,241
26616,25188,23719,26432,29200,27247,21935,19287,23007,16439,12905,8466,3797,1618,135
56102,55280,53478,47359,40147,37438,38991,39150,40705,35944,29907,25580,15040,4631,5681
71264,79382,76853,86446,83054,76053,80489,87756,87602,70220,56710,42383,28315,17216,6621
13064,14246,8734,8742,5678,3737,4751,4012,6073,5502,3986,3364,3007,2907,1906
43124,41723,50695,54208,47874,50572,53001,55920,54339,45684,38863,29657,15000,5956,3037
30646,26109,29859,31542,33389,30631,32004,30757,35357,37733,31256,20717,12350,5840,1623
32336,39541,45436,48982,57560,50819,44478,41450,44242,30952,24701,19309,9454,4266,1724
33968,31234,26151,21159,23582,24301,23480,18965,22615,23727,21916,16376,10658,4319,2133
22083,22754,22291,26467,20548,23231,24293,21906,22211,21284,14548,16332,7735,3612,2347
16811,12746,13015,14386,16571,13312,16808,21138,24447,27717,23953,18131,11764,6722,2239
17128,15533,12229,10425,7705,6050,5328,5699,7462,4700,4996,4122,1556,578,180
12013,15472,16339,14300,15332,16825,17579,13493,10450,12585,9608,6344,6737,2936,1368
40483,42900,38488,42576,40276,47991,50019,44575,41250,42319,34192,28066,20349,10473,3628
25053,21152,24839,34306,39212,39560,37264,30177,29567,32197,27934,19677,18115,7670,2348
